name,brand,rating_count,total_reviews,rating_value,price,seller_name,seller_location,seller_store_link
"Callbar B312 (Dual Sim, 1.8 Inch Display, 850 Mah Battery",Callbar,61,16 Reviews,2.6,669,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"MTR MT 310 (Dual Sim, 800 mAh Battery)",MTR,108,12 Reviews,3.8,659,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
MTR MT 310 DUAL SIM MOBILE PHONE,MTR,17,3 Reviews,4.1,759,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 1600 (Single Sim, 1.4 Inches Display, Assorted Color) - Superb Condition, Like New",NOKIA,2,0,4.5,1449,Super Clone 44,"Gurgaon , Haryana",http://super-clone-44.shopclues.com
"Kechaoda K-55 Plus , Gold",Kechaoda,8,1 Review,3.6,909,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 1600 (Single Sim, 1.4 Inches Display, Assorted Color) - Superb Condition, Like New",NOKIA,23,0,3.5,1449,Super Clone 44,"Gurgaon , Haryana",http://super-clone-44.shopclues.com
Apple iPhone 8 Plus 64GB Refurbished Gold,Apple,3,1 Review,3.3,16999,S V COLLECTIONS,"Hyderabad , Telangana",http://s-v-collections-1.shopclues.com
"(Refurbished) Samsung 1200 (Single SIM, 1.5 Inch Display, Black) - Superb Condition, Like New",Samsung,12,3 Reviews,2.9,1449,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
MTR M1 BLUETOOTH DIALER PHONE CAN BE USED AS SEPERATE PHONE WITH USB CHARGING CABLE IN ROSE GOLD COLOR.,MTR,4,0,3,1129,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,100,14 Reviews,2.9,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1600 (Single Sim, 1.4 Inches Display, Assorted Color) - Superb Condition, Like New",NOKIA,81,15 Reviews,3.5,1449,Super Clone 44,"Gurgaon , Haryana",http://super-clone-44.shopclues.com
"(Refurbished) Samsung 310 (Dual SIM, 2 inches Display) Superb Condition, Like New",Samsung,3,0,3,1749,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"MTR MT312 (Dual Sim, 1.8 Inch Display, 800 Mah Battery)",MTR,82,10 Reviews,3.1,670,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"Second Hand (Refurbished) Redmi 6X (Rose Gold, 6 GB RAM, 128 GB Storage) - Superb Condition, Like New",Redmi,0,0,0,25000,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"Second Hand (Refurbished) OnePlus 5T Â (6 GB RAM, 64 GB Storage, Black) - Superb Condition, Like New",Oneplus,0,0,0,11899,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
